I0531 10:13:47.593453       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-pb8p9" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:48.020101       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="aws-node-z6ndb" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:49.146463       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="ebs-csi-node-59zql" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:49.370109       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="ebs-csi-node-6w65r" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:49.538863       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="ebs-csi-node-6vqkd" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:49.909231       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="ebs-csi-node-7c2k9" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:50.028116       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="ebs-csi-node-fk9vb" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:50.324340       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="ebs-csi-node-hlxwf" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:50.445858       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="ebs-csi-node-h596f" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:50.801209       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="ebs-csi-node-hrvpp" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:50.919466       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="ebs-csi-node-q6tkr" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:51.242596       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/0/hostPath/ is not allowed" "name"="ebs-csi-node-rs55m" "namespace"="kube-system" "policy"="disallow-host-path" "rule"="host-path"
